Installed capacity;Renewables;Renewables;Pumped storage, batteries;Pumped storage, batteries;Gas;Gas;Lignite;Lignite;Hard coal;Hard coal;Nuclear;Nuclear;Total;Total
As of 31 December, MW;2023;2022;2023;2022;2023;2022;2023;2022;2023;2022;2023;2022;2023;2022
Offshore Wind;3515;3517;-;-;-;-;-;-;-;-;-;-;3515;3517
Onshore Wind/ Solar;12574;8247;580;128;-;-;-;-;-;-;-;-;13154;8375
Hydro/Biomass/Gas;1268;1263;291;291;15572;13666;-;-;1469;1469;-;-;18906;17192
of which:;;;;;;;;;;;;;;
Germany;377;377;291;291;4127;3827;-;-;-;-;-;-;4848;4545
United Kingdom;133;133;-;-;6949;6929;-;-;-;-;-;-;7335;7315
Netherlands;759;753;-;-;3709;2323;-;-;1469;1469;-;-;5937;4545
Turkiye;-;-;-;-;787;787;-;-;-;-;-;-;787;787
Coal/Nuclear;12;12;-;-;400;400;8250;8250;-;-;146;1482;8835;10171
RWE Group;17370;13039;878;426;15975;14269;8250;8250;1469;1469;146;1482;44420;39265
